Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
1579132800,2020-01-16,ETHEUR,149.31,150.16,142.55,147.36,45588.65,6626684.06
1579046400,2020-01-15,ETHEUR,149.1,154.34,142.7,149.31,70441.27,10435005.56
1578960000,2020-01-14,ETHEUR,129.18,153.1,129.12,149.1,109701.84,15532760.85
1578873600,2020-01-13,ETHEUR,131.68,132,127.75,129.18,21625.66,2791855.32
1578787200,2020-01-12,ETHEUR,128.12,131.68,127.47,131.68,28616.04,3704174.97
1578700800,2020-01-11,ETHEUR,130.08,133.09,127.7,128.12,23031.29,2992457.62
1578614400,2020-01-10,ETHEUR,124.02,130.47,122,130.08,32369.12,4094786.74
1578528000,2020-01-09,ETHEUR,126.55,127.27,121.74,124.02,29548,3656509.48
1578441600,2020-01-08,ETHEUR,128.33,132.88,123.59,126.55,81010.39,10265938.42
1578355200,2020-01-07,ETHEUR,129.05,130.39,124.13,128.33,52600.14,6731945.96
1578268800,2020-01-06,ETHEUR,121.28,129.21,120.79,129.05,48278.11,6090401.03
1578182400,2020-01-05,ETHEUR,120.27,124,120.26,121.28,28682.26,3499143.74
1578096000,2020-01-04,ETHEUR,120.28,121.64,118.75,120.27,9030.22,1081414.79
1578009600,2020-01-03,ETHEUR,113.71,120.7,112.51,120.28,36235.13,4260756.01
1577923200,2020-01-02,ETHEUR,116.17,116.17,113.08,113.71,24959.07,2853924.86
1577836800,2020-01-01,ETHEUR,114.81,118.47,114.33,116.17,11803.08,1376308.15
1577750400,2019-12-31,ETHEUR,117.14,118.82,113.92,114.81,22374.51,2595907.95
1577664000,2019-12-30,ETHEUR,120.08,121.33,116.1,117.14,26677.16,3153680.74
1577577600,2019-12-29,ETHEUR,114.49,123.44,114.05,120.08,28851.9,3427324.15
1577491200,2019-12-28,ETHEUR,113.01,116.03,112.59,114.49,11256,1286943.38
1577404800,2019-12-27,ETHEUR,113.15,113.77,109.81,113.01,22157.67,2479158.82
1577318400,2019-12-26,ETHEUR,112.62,118.86,111.93,113.15,23190.33,2653829.2
1577232000,2019-12-25,ETHEUR,115.37,115.51,110.66,112.62,50633.91,5688814.27
1577145600,2019-12-24,ETHEUR,115.4,117.1,114.28,115.37,17340.48,2007227.64
1577059200,2019-12-23,ETHEUR,119.52,121.99,113.75,115.4,28295.36,3350440.61
1576972800,2019-12-22,ETHEUR,114.83,120.35,114.75,119.52,19117.54,2253224.8
